"BehaviorSpace results (NetLogo 6.1.1)"
"HatModel.nlogo"
"num-required-1-50"
"11/24/2020 19:22:47:479 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","num-influence","number-required","probability","numer-initial","[step]","count-pink"
"1","1","1","100","5","1","2601"
"3","1","3","100","5","1","2601"
"4","1","4","100","5","1","2601"
"2","1","2","100","5","1","2601"
"6","1","6","100","5","1","2601"
"5","1","5","100","5","1","2601"
"7","1","7","100","5","1","2601"
"8","1","8","100","5","1","2601"
"10","1","10","100","5","1","2601"
"9","1","9","100","5","1","2601"
"11","1","11","100","5","2","2601"
"12","1","12","100","5","2","2601"
"13","1","13","100","5","2","2601"
"14","1","14","100","5","2","2601"
"15","1","15","100","5","2","2601"
"16","1","16","100","5","2","2601"
"17","1","17","100","5","2","2601"
"20","1","20","100","5","2","2601"
"18","1","18","100","5","3","2601"
"19","1","19","100","5","2","2601"
"21","1","21","100","5","2","2601"
"22","1","22","100","5","3","2601"
"23","1","23","100","5","3","2601"
"24","1","24","100","5","3","2601"
"25","1","25","100","5","3","2601"
"26","1","26","100","5","3","2601"
"27","1","27","100","5","3","2601"
"29","1","29","100","5","4","2601"
"28","1","28","100","5","5","2601"
"30","1","30","100","5","4","2601"
"31","1","31","100","5","4","2601"
"33","1","33","100","5","4","2601"
"32","1","32","100","5","5","2601"
"34","1","34","100","5","4","2601"
"35","1","35","100","5","6","2601"
"36","1","36","100","5","5","2601"
"37","1","37","100","5","5","2601"
"38","1","38","100","5","5","2601"
"39","1","39","100","5","5","2601"
"40","1","40","100","5","7","2601"
"41","1","41","100","5","6","2601"
"42","1","42","100","5","6","2601"
"43","1","43","100","5","6","2601"
"46","1","46","100","5","6","2601"
"45","1","45","100","5","7","2601"
"44","1","44","100","5","8","2601"
"47","1","47","100","5","8","2601"
"48","1","48","100","5","8","2601"
"49","1","49","100","5","7","2601"
"50","1","50","100","5","10","2601"
