"BehaviorSpace results (NetLogo 6.1.1)"
"HatModel.nlogo"
"num-required-1"
"11/24/2020 18:22:19:019 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","num-influence","number-required","probability","numer-initial","[step]","count-pink"
"1","1","1","100","5","1","2601"
"4","1","4","100","5","1","2601"
"3","1","3","100","5","1","2601"
"2","1","2","100","5","1","2601"
"5","1","5","100","5","1","2601"
"7","1","7","100","5","1","2601"
"6","1","6","100","5","1","2601"
"8","1","8","100","5","1","2601"
"9","1","9","100","5","2","2601"
"10","1","10","100","5","2","2601"
"11","1","11","100","5","2","2601"
"12","1","12","100","5","2","2601"
"13","1","13","100","5","2","2601"
"14","1","14","100","5","2","2601"
"16","1","16","100","5","2","2601"
"15","1","15","100","5","2","2601"
"19","1","19","100","5","2","2601"
"17","1","17","100","5","2","2601"
"18","1","18","100","5","2","2601"
"20","1","20","100","5","3","2601"
"21","1","21","100","5","3","2601"
"22","1","22","100","5","3","2601"
"23","1","23","100","5","3","2601"
"24","1","24","100","5","3","2601"
"25","1","25","100","5","3","2601"
