"BehaviorSpace results (NetLogo 6.1.1)"
"HatModel.nlogo"
"probability"
"11/24/2020 16:29:33:877 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","num-influence","number-required","probability","numer-initial","[step]","count turtles"
"4","0","5","4","5","244","2601"
"3","0","5","3","5","349","2601"
"1","0","5","1","5","729","2601"
"5","0","5","5","5","176","2601"
"7","0","5","7","5","144","2601"
"2","0","5","2","5","1000","2601"
"9","0","5","9","5","88","2601"
"8","0","5","8","5","123","2601"
"10","0","5","10","5","82","2601"
"11","0","5","11","5","71","2601"
"13","0","5","13","5","61","2601"
"14","0","5","14","5","53","2601"
"6","0","5","6","5","1000","2601"
"17","0","5","17","5","56","2601"
"18","0","5","18","5","43","2601"
"19","0","5","19","5","37","2601"
"20","0","5","20","5","41","2601"
"12","0","5","12","5","1000","2601"
"22","0","5","22","5","39","2601"
"15","0","5","15","5","1000","2601"
"23","0","5","23","5","37","2601"
"25","0","5","25","5","40","2601"
"16","0","5","16","5","1000","2601"
"21","0","5","21","5","1000","2601"
"28","0","5","28","5","29","2601"
"29","0","5","29","5","26","2601"
"30","0","5","30","5","31","2601"
"31","0","5","31","5","31","2601"
"32","0","5","32","5","20","2601"
"33","0","5","33","5","20","2601"
"34","0","5","34","5","21","2601"
"24","0","5","24","5","1000","2601"
"35","0","5","35","5","22","2601"
"36","0","5","36","5","22","2601"
"37","0","5","37","5","20","2601"
"26","0","5","26","5","1000","2601"
"40","0","5","40","5","19","2601"
"41","0","5","41","5","16","2601"
"42","0","5","42","5","15","2601"
"27","0","5","27","5","1000","2601"
"44","0","5","44","5","13","2601"
"38","0","5","38","5","1000","2601"
"46","0","5","46","5","19","2601"
"47","0","5","47","5","15","2601"
"39","0","5","39","5","1000","2601"
"49","0","5","49","5","12","2601"
"50","0","5","50","5","15","2601"
"51","0","5","51","5","15","2601"
"43","0","5","43","5","1000","2601"
"53","0","5","53","5","11","2601"
"45","0","5","45","5","1000","2601"
"55","0","5","55","5","12","2601"
"56","0","5","56","5","11","2601"
"57","0","5","57","5","14","2601"
"58","0","5","58","5","9","2601"
"59","0","5","59","5","11","2601"
"60","0","5","60","5","8","2601"
"61","0","5","61","5","15","2601"
"48","0","5","48","5","1000","2601"
"52","0","5","52","5","1000","2601"
"64","0","5","64","5","8","2601"
"65","0","5","65","5","10","2601"
"66","0","5","66","5","8","2601"
"54","0","5","54","5","1000","2601"
"68","0","5","68","5","8","2601"
"69","0","5","69","5","7","2601"
"62","0","5","62","5","1000","2601"
"63","0","5","63","5","1000","2601"
"67","0","5","67","5","1000","2601"
"73","0","5","73","5","7","2601"
"74","0","5","74","5","6","2601"
"70","0","5","70","5","1000","2601"
"76","0","5","76","5","7","2601"
"77","0","5","77","5","7","2601"
"71","0","5","71","5","1000","2601"
"72","0","5","72","5","1000","2601"
"80","0","5","80","5","5","2601"
"75","0","5","75","5","1000","2601"
"82","0","5","82","5","6","2601"
"83","0","5","83","5","6","2601"
"84","0","5","84","5","4","2601"
"78","0","5","78","5","1000","2601"
"86","0","5","86","5","6","2601"
"87","0","5","87","5","5","2601"
"88","0","5","88","5","5","2601"
"89","0","5","89","5","4","2601"
"90","0","5","90","5","5","2601"
"91","0","5","91","5","4","2601"
"92","0","5","92","5","5","2601"
"93","0","5","93","5","4","2601"
"94","0","5","94","5","4","2601"
"79","0","5","79","5","1000","2601"
"81","0","5","81","5","1000","2601"
"85","0","5","85","5","1000","2601"
"98","0","5","98","5","3","2601"
"99","0","5","99","5","3","2601"
"100","0","5","100","5","2","2601"
"95","0","5","95","5","1000","2601"
"96","0","5","96","5","1000","2601"
"97","0","5","97","5","1000","2601"
