"BehaviorSpace results (NetLogo 6.1.1)"
"Vasylenko_Lab4_2.nlogo"
"experiment"
"11/29/2020 20:05:53:321 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-17","17","-8","8"
"[run number]","computer-strategy","human-strategy","[step]","[ average-score ] of one-of users","[ average-score ] of one-of computers","[ score ] of one-of users","[ score ] of one-of computers"
"3","cooperate","tit-for-tat","500","2.994","2.994","1500","1500"
"2","cooperate","defect","500","4.99","0","2500","0"
"4","cooperate","unforgiving","500","2.994","2.994","1500","1500"
"7","defect","defect","500","0.998","0.998","500","500"
"5","cooperate","pavlov","500","3.948","1.563","1978","783"
"6","defect","cooperate","500","0","4.99","0","2500"
"8","defect","tit-for-tat","500","0.996","1.006","499","504"
"9","defect","unforgiving","500","0.996","1.006","499","504"
"10","defect","pavlov","500","0.495","3.01","248","1508"
"11","tit-for-tat","cooperate","500","2.994","2.994","1500","1500"
"12","tit-for-tat","defect","500","1.006","0.996","504","499"
"13","tit-for-tat","tit-for-tat","500","2.994","2.994","1500","1500"
"14","tit-for-tat","unforgiving","500","2.994","2.994","1500","1500"
"15","tit-for-tat","pavlov","500","2.08","2.08","1042","1042"
"16","unforgiving","cooperate","500","2.994","2.994","1500","1500"
"17","unforgiving","defect","500","1.006","0.996","504","499"
"18","unforgiving","tit-for-tat","500","2.994","2.994","1500","1500"
"19","unforgiving","unforgiving","500","2.994","2.994","1500","1500"
"20","unforgiving","pavlov","500","0.511","2.976","256","1491"
"21","pavlov","cooperate","500","1.641","3.896","822","1952"
"22","pavlov","defect","500","3.01","0.495","1508","248"
"23","pavlov","tit-for-tat","500","2.086","2.086","1045","1045"
"24","pavlov","unforgiving","500","2.968","0.513","1487","257"
"25","pavlov","pavlov","500","2.83","2.89","1418","1448"
"1","cooperate","cooperate","500","2.994","2.994","1500","1500"
